"title","year","alias","director","writer","genre","region","language","runtime","douban_rating","imdb_rating","cast","summary","referer","poster_url","still_url","poster_file","still_file"
"致命狙杀","2019","狙杀","王岩川","牛兴安 / 童睿","剧情 / 战争","中国大陆","汉语普通话","89分钟","4.7分 (共504人参与评分)","","罗立群 / 王姝允 / 殷越 / 太田直行 / 马佳玮","1938年，武汉沦陷前夕，传奇狙击手左英杰率小队拼死阻击，一战成名。不料事后却遭小人构陷含冤入狱，女特工沈雪在狱中找到昔日战场英雄并授予一项绝密刺杀任务。左英杰临危受命，不料行动伊始便遭遇宿敌日军王牌狙击手下川国正伏击，身陷险境。惊天阴谋逐渐浮出水面，国恨家仇、狭路相逢，巅峰对决一触即发……","https://4khdr.cn/thread-31201-1-1.html","https://4khdr.cn/data/attachment/forum/202503/18/163954fvr3xrv55fvo2ov2.jpeg","","data/attachment/forum/202503/18/163954fvr3xrv55fvo2ov2.jpeg",""
"恶兽","2025","","吉治中","陈曦","动作 / 动画 / 冒险","中国大陆","汉语普通话","81分钟","分 (共0人参与评分)","","马洋 / 张欣 / 李雨婷 / 李梦洁","在一次凤凰城赛车大奖赛期间，消失二十年的东方巨兽武罗再度现身，给城市带来了巨大的灾难和恐慌。武罗在袭击中受伤，躲进山洞休养。年轻赛车天才张小蚤，因过于自信，带领四人小队冒险偷袭受伤的武罗，反而引发了更严重的危机。面对打击，张小蚤在武器专家赖道张的帮助与激励下，不仅提升了战斗力，也找回了失去的自信。在武罗即将摧毁凤凰城的生死时刻，张小蚤挺身而出，力挽狂澜，成功拯救了全城，最终成为新一代的城市英雄。","https://4khdr.cn/thread-31199-1-1.html","https://4khdr.cn/data/attachment/forum/202503/18/163508x9uplueepnlue9sl.jpeg","","data/attachment/forum/202503/18/163508x9uplueepnlue9sl.jpeg",""
"天生好手 The Natural","1984","天赋 / 天赐奇才","巴瑞·莱文森","Roger Towne / 菲尔·杜森伯里","剧情 / 运动","美国","英语","134 分钟 / USA: 144 分钟(Director's Cut)","7.3分 (共909人参与评分)","","罗伯特·雷德福 / 格伦·克洛斯 / 罗伯特·杜瓦尔 / 金·贝辛格 / 威尔福德·布利姆雷","罗伊（罗伯特·雷德福 Robert Redford 饰）在幼年时期便已经展现出了杰出的棒球天赋，在父亲的精心栽培之下，罗伊的球技飞速的提升着。在罗伊十九岁那一年，父亲去世了，悲伤和痛苦之中，罗伊挥别了女友爱丽丝（格伦·克洛斯 Glenn Close 饰），决定前往芝加哥开辟属于自己的新天地。","https://4khdr.cn/thread-31226-1-1.html","https://4khdr.cn/data/attachment/forum/202503/18/223002s1v1l73ae7ebv1l1.jpeg","","data/attachment/forum/202503/18/223002s1v1l73ae7ebv1l1.jpeg",""
"哪吒之魔童降世","2019","哪吒降世 / Ne Zha / Nezha: Birth of the Demon Child","饺子","饺子 / 易巧 / 魏芸芸","剧情 / 喜剧 / 动画 / 奇幻","中国大陆","汉语普通话","110分钟","8.4分 (共1961155人参与评分)","","吕艳婷 / 囧森瑟夫 / 瀚墨 / 陈浩 / 绿绮 / 张珈铭 / 杨卫","天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？","https://4khdr.cn/thread-28991-1-1.html","https://4khdr.cn/data/attachment/forum/202503/13/003617ix2pox0kox2twmk4.jpeg","","data/attachment/forum/202503/13/003617ix2pox0kox2twmk4.jpeg",""
"神偷联盟 Logan Lucky","2017","卢根急转弯(港) / 罗根好好运(台) / 幸运的罗根","史蒂文·索德伯格","丽贝卡·布朗特","喜剧 / 犯罪","美国","英语","119分钟","7.0分 (共40806人参与评分)","","查宁·塔图姆 / 丹尼尔·克雷格 / 亚当·德赖弗 / 丽莉·吉欧 / 希拉里·斯万克 / 凯瑟琳·沃特斯顿 / 大卫·丹曼 / 杰克·奎德 / 布莱恩·格里森 / 吉姆·奥希尔 / 法拉·麦肯齐 / 布登·约翰斯顿 / 萨顿·约翰斯顿 / 塞巴斯蒂安·斯坦 / 塞思·麦克法兰 / 凯蒂·霍尔姆斯","吉米（查宁·塔图姆 Channing Tatum 饰）曾是风光一时的体育明星，却因为受伤而不得不告别体坛，如今的他在一家高速公路收费站里工作，生活的窘迫而又窝囊，更糟糕的是，就连这份工作最终也抛弃了他，他被解雇了。","https://4khdr.cn/thread-31223-1-1.html","https://4khdr.cn/data/attachment/forum/202503/18/211416iyeu597k3guotu5n.jpeg","","data/attachment/forum/202503/18/211416iyeu597k3guotu5n.jpeg",""
"佐州自救兄弟2 Ride Along 2","2016","一路前行2(台)","蒂姆·斯托瑞","费尔·海伊 / 马特·曼弗莱迪  / 格雷格·库利奇","喜剧 / 动作","美国","英语","102分钟","6.2分 (共3883人参与评分)","","凯文·哈特 / 艾斯·库珀 / 提卡·森普特 / 本杰明·布拉特 / 奥利维亚·穆恩 / 郑肯 / 布鲁斯·麦克吉尔 / 迈克尔·罗斯 / 雪莉·谢波德 / Arturo del Puerto / 卡洛斯·戈麦斯 / 乌特卡什·安邦德卡尔 / 格伦·鲍威尔 / 娜丁·维拉兹盖兹 / 布莱莎·韦伯 / 詹姆斯·马丁·凯利 / 罗伯特·普拉尔戈 / 泰瑞斯·吉布森 / 雷·埃尔南德斯 / 尤兰达·亚当斯 / 詹妮弗·巴杰 / 艾斯·马里罗 / 裘斯 B.詹哈迪 / 弗莱迪·普尔 / 亨利·金 / 克里斯·波什 / Chrystall Friedemann / 兰迪·冈萨雷斯 / 阿方索·A·杰克逊","故事发生在第一部的一年后，菜鸟警察本（凯文·哈特 Kevin Hart 饰）与他的大舅子、老鸟警官詹姆斯（艾斯·库珀 Ice Cube 饰）再度联手，从亚特兰大前往迈阿密侦破一桩毒品大案。案件能否顺利侦破？本的婚礼能否如期举行？","https://4khdr.cn/thread-31200-1-1.html","https://4khdr.cn/data/attachment/forum/202503/18/163708o0o829xkk8ounhx2.jpeg","","data/attachment/forum/202503/18/163708o0o829xkk8ounhx2.jpeg",""
"美国队长4 Captain America: Brave New World","2025","美国队长4：勇敢新世界(港) / 美国队长：无畏新世界(台) / 美国队长4：新世界秩序 / 美队4 / Captain America 4 / Captain America: New World Order","朱利叶斯·约拿","罗伯·爱德华兹 / 马尔科姆·斯佩尔曼 / 达兰·穆森 / 朱利叶斯·约拿 / 彼得·格兰兹","动作 / 科幻 / 冒险","美国","英语 / 西班牙语 / 日语","119分钟","5.2分 (共41273人参与评分)","","安东尼·麦凯 / 哈里森·福特 / 丹尼·拉米雷斯 / 茜拉·哈斯 / 卡尔·鲁伯利 / 蒂姆·布雷克·尼尔森 / 吉安卡罗·埃斯波西托 / 豪莎·罗克莫雷 / 约翰内斯·豪克尔·约翰内森 / 平岳大 / 塞巴斯蒂安·斯坦 / 丽芙·泰勒 / 威廉·麦克·麦库洛 / 赫许·纳亚 / 里克·埃斯派耶 / 托德·艾伦·德金 / 达斯汀·刘易斯 / 蕾切尔·马卡里兰 / 蓬·库巴斯基 / 阿兰·波尔 / 阿娃·希尔 / 玛丽莎·香奈儿·汉普顿","能够展翅高飞的猎鹰山姆·威尔逊（安东尼·麦凯 Anthony Mackie 饰）受史蒂夫·罗杰斯的信任所托，接过盾牌，正式成为美国队长。在与美国总统撒迪厄斯·罗斯（哈里森·福特 Harrison Ford 饰）会面后，山姆发现自己被卷入了一场国际事件。他必须赶在真正的幕后黑手让全世界陷入混乱之前查明真相，揭露这起波及全球的阴谋。","https://4khdr.cn/thread-30481-1-1.html","https://4khdr.cn/data/attachment/forum/202503/13/002740rhq4ld7hzlhzi7km.jpeg","","data/attachment/forum/202503/13/002740rhq4ld7hzlhzi7km.jpeg",""
"峡谷 The Gorge","2025","禁谷","斯科特·德瑞克森","扎克·迪恩","动作 / 爱情 / 科幻 / 恐怖 / 冒险","英国 / 美国","英语","127分钟","分 (共0人参与评分)","","安雅·泰勒-乔伊 / 迈尔斯·特勒 / 西格妮·韦弗 / 索佩·迪瑞苏 / 威廉·休斯顿 / 寇布勒·霍尔德布鲁克-史密斯 / 詹姆斯·马洛 / 朱丽安娜·库洛卡娃 / 露塔·格德米纳斯 / 奥利弗·特雷韦纳 / 萨钦·巴特 / 萨曼莎·考格兰 / 亚历桑德罗·加西亚 / Greta Hansen / Larisa Munoz Mejia / Adam Scott-Rowley / József Tálos","两名训练有素的特工被派往神秘峡谷的对立两侧执行保护任务，并因此变得亲密。当邪恶势力出现时，他们必须携手合作，以求在峡谷中的未知险境中生存下来。","https://4khdr.cn/thread-29274-1-1.html","https://4khdr.cn/data/attachment/forum/202503/13/003254tw7g669h6y8n6y4p.jpeg","","data/attachment/forum/202503/13/003254tw7g669h6y8n6y4p.jpeg",""
"电幻国度 The Electric State","2025","电力之州","乔·罗素 / 安东尼·罗素","克里斯托弗·马库斯 / 斯蒂芬·麦克菲利","剧情 / 喜剧 / 动作 / 科幻 / 冒险","美国","英语","128分钟","分 (共0人参与评分)","","米莉·波比·布朗 / 克里斯·帕拉特 / 关继威 / 杰森·亚历山大 / 安东尼·麦凯 / 伍迪·诺曼 / 吉安卡罗·埃斯波西托 / 斯坦利·图齐 / 伍迪·哈里森 / 布莱恩·考克斯 / 珍妮·斯蕾特 / 汉克·阿扎利亚 / 科尔曼·多明戈 / 艾伦·图代克 / 德文·达尔顿 / 泰瑞·诺塔里 / 马丁·科勒巴 / 帕蒂·哈里森 / 亚当·克罗斯代尔 / Gabrielle Maiden / Chris Silvestri / 布洛克·布罗姆 / 库利·卡尔文 / 阿兰·波尔 / Myles Evans / 安吉拉·戴维斯 / 兰德尔·P·海文斯","影片改编自同名热门绘本，背景设定在洋溢未来风格的过往年代。主人公米歇尔（米莉·波比·布朗 饰）是个失去双亲的少女，她为了寻找失散的弟弟而踏上穿越美国西部之旅，与她同行的是个可爱又神秘的机器人，以及一名古怪的流浪客（克里斯·帕拉特 饰）。","https://4khdr.cn/thread-30961-1-1.html","https://4khdr.cn/data/attachment/forum/202503/15/141912i95i85s9vvs2516s.jpeg","","data/attachment/forum/202503/15/141912i95i85s9vvs2516s.jpeg",""
"老狗","2025","英雄无名","姜晓通","韦修亮","剧情 / 喜剧 / 动作","中国大陆","汉语普通话","99分钟","分 (共0人参与评分)","","姜武 / 刘奕铁 / 包贝尔 / 马苏 / 朱时茂 / 胡子程 / 刘怡潼 / 安琥","一条地下运毒链条牵扯出帮派小头目老狗（姜武 饰）、地头蛇三哥（包贝尔 饰）等人所在的地方帮派的交易网。在老狗管理的狗市里，愣头青东子（刘奕铁 饰）阴差阳错地卷入这场漩涡中，并获得老狗赏识成为其最心腹的小弟。帮派老大葛爷的离奇暴毙，让权力真空引发惨烈厮杀，几大狠人血拼上位，神秘势力暗中操盘，然而东子的身份也似乎并不简单。在情谊和生死面前，人性赌局的考验也让事态变得越来越扑朔迷离。","https://4khdr.cn/thread-30895-1-1.html","https://4khdr.cn/data/attachment/forum/202503/14/140849xzliezo1wy454xxz.jpeg","","data/attachment/forum/202503/14/140849xzliezo1wy454xxz.jpeg",""
